variable	level	WSI_BRCA.proficient.freq	WSI_BRCA1.deficient.freq	WSI_BRCA.proficient.prop	WSI_BRCA1.deficient.prop	p.value	WSI_BRCA.proficient.freq	WSI_BRCA2.deficient.freq	WSI_BRCA.proficient.prop	WSI_BRCA2.deficient.prop	p.value	TCGA_BRCA.proficient.freq	TCGA_BRCA1.deficient.freq	TCGA_BRCA.proficient.prop	TCGA_BRCA1.deficient.prop	p.value	TCGA_BRCA.proficient.freq	TCGA_BRCA2.deficient.freq	TCGA_BRCA.proficient.prop	TCGA_BRCA2.deficient.prop	p.value
Age	-	56 (30-66)	46.5 (28-59)	-	-	0.00446961705550221	56 (30-66)	51 (38-61)	-	-	0.443994902523551	58.85 (27-68.195)	52.18 (33-59.11)	-	-	0.0010501318800444	58.85 (27-68.195)	58.365 (26-65.33)	-	-	0.325404426753561
Tumour.Grade	I	 22	 0	10.2	 0.0	5.292512e-04	 22	 0	10.2	 0.0	0.5299440	 50	 0	 9.3	 0.0	3.645761e-03	 50	 0	 9.3	 0.0	0.5718660
Tumour.Grade	II	 88	 3	40.7	11.5	5.292512e-04	 88	 6	40.7	40.0	0.5299440	226	 5	41.9	18.5	3.645761e-03	226	 7	41.9	41.2	0.5718660
Tumour.Grade	III	106	23	49.1	88.5	5.292512e-04	106	 9	49.1	60.0	0.5299440	264	22	48.9	81.5	3.645761e-03	264	10	48.9	58.8	0.5718660
TNBC	No	174	 5	78.4	18.5	1.245577e-09	174	11	78.4	78.6	1.0000000	403	 6	85.0	37.5	3.150673e-05	403	13	85.0	81.2	0.7198724
TNBC	Yes	 48	22	21.6	81.5	1.245577e-09	 48	 3	21.6	21.4	1.0000000	 71	10	15.0	62.5	3.150673e-05	 71	 3	15.0	18.8	0.7198724
PAM50	Luminal A	 94	 2	42.0	 7.4	5.010549e-11	 94	 3	42.0	20.0	0.3238687	283	 0	32.5	 0.0	6.530169e-10	283	 3	32.5	12.5	0.0326439
PAM50	Luminal B	 80	 2	35.7	 7.4	5.010549e-11	 80	 8	35.7	53.3	0.3238687	290	 7	33.3	22.6	6.530169e-10	290	14	33.3	58.3	0.0326439
PAM50	Basal-like	 38	23	17.0	85.2	5.010549e-11	 38	 3	17.0	20.0	0.3238687	142	21	16.3	67.7	6.530169e-10	142	 3	16.3	12.5	0.0326439
PAM50	HER2-enriched	 11	 0	 4.9	 0.0	5.010549e-11	 11	 1	 4.9	 6.7	0.3238687	103	 2	11.8	 6.5	6.530169e-10	103	 1	11.8	 4.2	0.0326439
PAM50	Normal-like	  1	 0	 0.4	 0.0	5.010549e-11	  1	 0	 0.4	 0.0	0.3238687	 54	 1	 6.2	 3.2	6.530169e-10	 54	 3	 6.2	12.5	0.0326439
