level	WSI_coef	WSI_se	WSI_p.value	TCGA_coef	TCGA_se	TCGA_p.value
BRCA_statusBRCA1-deficient	0.91	0.17	1.92142634198256e-07	0.72	0.27	0.00802773414208585
BRCA_statusBRCA2-deficient	0.4	0.22	0.0717521325372702	0.02	0.3	0.948769574564786
Age=<median	0.31	0.11	0.00578612817055342	0.3	0.1	0.00200749169171504
Tumour.GradeII	0.22	0.2	0.278633263817174	0.29	0.22	0.189772571238794
Tumour.GradeIII	0.54	0.2	0.00601155267773883	0.95	0.22	1.94300963562173e-05
T.StageII	-0.14	0.13	0.299177040952089	-0.07	0.11	0.56489590098014
T.StageIII	0.06	0.2	0.777007681975619	-0.01	0.17	0.945282456364449
T.StageIV	-0.03	0.34	0.928729058516808	-0.73	0.28	0.0100824386841962
ERnegative	0.8	0.11	2.79603208402116e-12	0.84	0.11	5.60923150590141e-13
PRnegative	0.64	0.11	8.31148320726405e-09	0.56	0.1	8.41948901769258e-08
HER2negative	0.09	0.44	0.831897115663008	-0.39	0.17	0.0224531892764733
TNBCYes	0.81	0.11	4.45175078705958e-12	0.83	0.16	7.39833371492755e-07
PAM50LumB	0.13	0.11	0.246301126199947	-0.14	0.12	0.212506061428626
PAM50Basal	1.06	0.12	1.59825883171591e-15	0.87	0.14	4.1010082289998e-10
PAM50Her2	0.29	0.24	0.227503748975173	0.82	0.16	4.0930289722649e-07
PAM50Normal	0.12	0.78	0.87294955370557	0.02	0.2	0.929716579076879
